Ad Concatenation,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Description,Description 2,Path 1,Path 2,Auto-applied ad suggestion,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Category,Ad group,Status,Clicks,Impr.,CTR,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
"Blueboard Sales Awards;The Future of Employee Rewards;A Better Way to Reward Talent;Traditional Programs Fall Flat—Use Experiences to Build Engagement & Motivation.;Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Expanded text ad,https://www.blueboard.com/,Blueboard Sales Awards,The Future of Employee Rewards,A Better Way to Reward Talent,Traditional Programs Fall Flat—Use Experiences to Build Engagement & Motivation.,"Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Sales%20Award&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Sales Award,Approved,0,9,0.00%,--,0.00,0,0.00,0.00%
Employee Anniversary Gifts;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Employee Anniversary Gifts,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Anniversary,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Anniversary&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Anniversary,Approved,2,13,15.38%,5.27,10.54,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Incentive,Travel,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Anniversary&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Travel,Approved,2,62,3.23%,6.80,13.60,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Appreciation,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Bonus&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Appreciation,Approved,10,249,4.02%,2.16,21.58,0,0.00,0.00%
"Blueboard Experiential Rewards;The Future of Employee Rewards;Create Memorable Recognition;Traditional Programs Fall Flat—Use Experiences to Build Engagement & Motivation.;Wide selection of Experiential Rewards: Cooking Lessons, Skydiving, Spa, Travel.",Expanded text ad,https://www.blueboard.com/,Blueboard Experiential Rewards,The Future of Employee Rewards,Create Memorable Recognition,Traditional Programs Fall Flat—Use Experiences to Build Engagement & Motivation.,"Wide selection of Experiential Rewards: Cooking Lessons, Skydiving, Spa, Travel.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Recognition&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Recognition,Approved,0,3,0.00%,--,0.00,0,0.00,0.00%
"Blueboard Referral Program;Personalized Incentive Ideas;A Better Way to Reward Talent;Traditional Programs Fall Flat—Use Experiences to Build Engagement & Motivation.;Employee Referral Programs to Keep your Employee Happy, Engaged and Motivated.",Expanded text ad,https://www.blueboard.com/employee-referral-incentives,Blueboard Referral Program,Personalized Incentive Ideas,A Better Way to Reward Talent,Traditional Programs Fall Flat—Use Experiences to Build Engagement & Motivation.,"Employee Referral Programs to Keep your Employee Happy, Engaged and Motivated.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Referral&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Referral,Approved,0,5,0.00%,--,0.00,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Gifts,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Incentive&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Gifts,Approved,47,1331,3.53%,1.80,84.81,0,0.00,0.00%
"Blueboard Appreciation Ideas;Employee Gift Ideas;Employee Gift Ideas;Gift Employees With Their Choice From Hundreds of Custom, Curated Experiences.;Wide selection of Experiential Rewards: Cooking Lessons, Skydiving, Spa, Travel.",Expanded text ad,https://www.blueboard.com/,Blueboard Appreciation Ideas,Employee Gift Ideas,Employee Gift Ideas,"Gift Employees With Their Choice From Hundreds of Custom, Curated Experiences.","Wide selection of Experiential Rewards: Cooking Lessons, Skydiving, Spa, Travel.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Gifts&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Gifts,Approved,0,37,0.00%,--,0.00,0,0.00,0.00%
Blueboard Spiff Program;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Spiff Program,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Spiff,Program,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Spiffs&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Spiffs,Approved,0,60,0.00%,--,0.00,0,0.00,0.00%
"Motive Your Remote Workforce;Blueboard Experiential Rewards;Reward Your Top Employees;Show Appreciation and Recognize the Efforts of Remote Employees through Blueboard Rewards.;They Choose from Experiences like Spa Days, Golf Lessons, VIP Concerts, Travel, and More.",Expanded text ad,https://www.blueboard.com/blog/rewarding-remotely-tips-for-celebrating-your-remote-employees,Motive Your Remote Workforce,Blueboard Experiential Rewards,Reward Your Top Employees,Show Appreciation and Recognize the Efforts of Remote Employees through Blueboard Rewards.,"They Choose from Experiences like Spa Days, Golf Lessons, VIP Concerts, Travel, and More.",remote,rewards,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=remote&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,remote,Approved,8,537,1.49%,4.16,33.31,0,0.00,0.00%
Blueboard Incentive Travel;Rewards That Turn OOO to OMG.;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,Blueboard Incentive Travel,Rewards That Turn OOO to OMG.,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Incentive,Travel,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Travel&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Travel,Approved,0,18,0.00%,--,0.00,0,0.00,0.00%
"Blueboard Experiential Rewards;Personalized Sales Incentives;A Better Way to Reward Talent;Traditional Programs Fall Flat—Use Experiences to Build Engagement & Motivation.;Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Expanded text ad,https://www.blueboard.com/,Blueboard Experiential Rewards,Personalized Sales Incentives,A Better Way to Reward Talent,Traditional Programs Fall Flat—Use Experiences to Build Engagement & Motivation.,"Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Sales%20Incentive&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Sales Incentive,Approved,0,1,0.00%,--,0.00,0,0.00,0.00%
Blueboard Retirement Gifts;Rewards That Turn OOO to OMG.;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,Blueboard Retirement Gifts,Rewards That Turn OOO to OMG.,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Retirement,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Retirement&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Retirement,Approved,2,24,8.33%,3.23,6.46,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Rewards,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Sales%20Award&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Rewards,Approved,7,45,15.56%,6.21,43.46,0,0.00,0.00%
Blueboard Employee Rewards;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Employee Rewards,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Rewards,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Rewards&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Rewards,Approved,2,35,5.71%,10.77,21.53,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/employee-referral-incentives,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Referrals,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Retirement&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Referral,Approved,269,7931,3.39%,2.57,690.36,1,690.36,0.37%
DKI;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,DKI,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Celebrate,Employees,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Celebrate%20Employee&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Celebrate Employee,Approved,0,3,0.00%,--,0.00,0,0.00,0.00%
Blueboard Employee Experiences;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Employee Experiences,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Rewards,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_Brand_AllGeos_Alpha&utm_term=Brand%20Reviews&utm_content={device},--,,Google_Search_Brand_AllGeos_Alpha,Brand,Brand Reviews,Approved,1,4,25.00%,18.80,18.80,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Incentive,Travel,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Anniversary&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Travel,Approved,15,323,4.64%,4.92,73.87,1,147.74,3.33%
"Unique Employee Incentives;Blueboard Experiential Rewards;A Better Way to Reward Talent;Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices.;Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Expanded text ad,https://www.blueboard.com/employee-referral-incentives,Unique Employee Incentives,Blueboard Experiential Rewards,A Better Way to Reward Talent,Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices.,"Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Referral&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Referral,Approved,0,13,0.00%,--,0.00,0,0.00,0.00%
"Create Memorable Recognition;Employee Anniversary Ideas;Anniversary Gift Ideas;Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices;Employee Anniversary Rewards to Keep your Employee Happy, Engaged and Motivated.",Expanded text ad,https://www.blueboard.com/,Create Memorable Recognition,Employee Anniversary Ideas,Anniversary Gift Ideas,Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices,"Employee Anniversary Rewards to Keep your Employee Happy, Engaged and Motivated.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Anniversary&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Anniversary,Approved,0,9,0.00%,--,0.00,0,0.00,0.00%
DKI;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,DKI,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Anniversary,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Anniversary&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Anniversary,Approved,34,839,4.05%,2.36,80.21,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Bonus,Program,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Celebrate%20Employee&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Bonus,Approved,6,233,2.58%,1.84,11.05,0,0.00,0.00%
Blueboard Employee Rewards;Rewards That Turn OOO to OMG.;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,Blueboard Employee Rewards,Rewards That Turn OOO to OMG.,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Rewards,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Rewards&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Rewards,Approved,15,338,4.44%,5.18,77.76,0,0.00,0.00%
Employee Referral Program;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/employee-referral-incentives,Employee Referral Program,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Referrals,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Referral&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Referral,Approved,14,508,2.76%,2.58,36.06,0,0.00,0.00%
DKI;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/employee-referral-incentives,DKI,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Referrals,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Referral&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Referral,Approved,63,1836,3.43%,2.62,164.92,0,0.00,0.00%
Blueboard Employee Perks;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Employee Perks,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Perks,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Perks&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Perks,Approved,13,670,1.94%,3.40,44.22,0,0.00,0.00%
"Create Memorable Recognition;Employee Anniversary Ideas;Anniversary Gift Ideas;Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices;Employee Anniversary Rewards to Keep your Employee Happy, Engaged and Motivated.",Expanded text ad,https://www.blueboard.com/,Create Memorable Recognition,Employee Anniversary Ideas,Anniversary Gift Ideas,Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices,"Employee Anniversary Rewards to Keep your Employee Happy, Engaged and Motivated.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Anniversary&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Anniversary,Approved,0,2,0.00%,--,0.00,0,0.00,0.00%
"Unique Retirement Gift ideas;Blueboard Experiential Rewards;Retirement Gift Ideas;Give Your Employees Something Special—100s of Custom, Curated Experiences.;Reward With Experiential Rewards: Northern Lights, Michelin Star Dining & More.",Expanded text ad,https://www.blueboard.com/,Unique Retirement Gift ideas,Blueboard Experiential Rewards,Retirement Gift Ideas,"Give Your Employees Something Special—100s of Custom, Curated Experiences.","Reward With Experiential Rewards: Northern Lights, Michelin Star Dining & More.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Retirement&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Retirement,Approved,0,2,0.00%,--,0.00,0,0.00,0.00%
Blueboard Employee Perks;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Employee Perks,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Perks,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Perks&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Perks,Approved,4,166,2.41%,7.86,31.43,0,0.00,0.00%
Blueboard Bonus Program;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Bonus Program,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Bonus,Program,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Bonus&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Bonus,Approved,0,11,0.00%,--,0.00,0,0.00,0.00%
"Blueboard Employee Rewards;The Future of Employee Rewards;A Better Way to Reward Talent;Traditional Programs Fall Flat—Use Experiences to Build Engagement & Motivation.;Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Expanded text ad,https://www.blueboard.com/,Blueboard Employee Rewards,The Future of Employee Rewards,A Better Way to Reward Talent,Traditional Programs Fall Flat—Use Experiences to Build Engagement & Motivation.,"Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_Brand_AllGeos_Alpha&utm_term=Brand%20Experiences&utm_content={device},--,,Google_Search_Brand_AllGeos_Alpha,Brand,Brand Experiences,Approved,3,9,33.33%,0.73,2.20,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Incentives,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Perks&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Incentive,Approved,39,880,4.43%,2.90,112.98,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Recognition,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_Brand_AllGeos_Alpha&utm_term=Brand%20Reviews&utm_content={device},--,,Google_Search_Brand_AllGeos_Alpha,Brand,Brand Recognition,Approved,0,4,0.00%,--,0.00,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/employee-referral-incentives,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Referrals,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Retirement&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Referral,Approved,12,604,1.99%,4.85,58.20,1,116.40,4.17%
DKI;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,DKI,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Retirement,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Retirement&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Retirement,Approved,34,1013,3.36%,2.52,85.67,0,0.00,0.00%
